compound,vina_kcal_mol,seconds
"ZALEPLON",-5.346,11.6
"ENOXIMONE",-5.029,6.8
"ABIRATERONE",-5.118,8.3
"MENTHOL",-3.580,2.6
"DIPHENIDOL HYDROCHLORIDE",-3.934,22.4
"ATALUREN",-5.644,9.9
"MILNACIPRAN",-3.794,10.5
"TAPINAROF",-4.607,9.4
"ETONOGESTREL",-4.567,5.5
"QUINETHAZONE",-5.080,6.7
"DESOGESTREL",-4.718,5.3
"MESTEROLONE",-4.930,4.3
"MOFEZOLAC",-5.111,21.1
"SULFADOXINE",-4.992,14.3
"PENCICLOVIR",-4.400,12.5
"AZATHIOPRINE",-5.450,8.1
"METHYLENE BLUE ANHYDROUS",-4.012,5.7
"BELINOSTAT",-5.616,17.0
"HYDROXYAMPHETAMINE",-3.803,3.7
"THIAMINE ION",-4.625,9.7
"GALANTAMINE HYDROBROMIDE",-4.205,17.6
"ASCORBIC ACID",-4.680,5.9
"DOPAMINE HYDROCHLORIDE",-4.313,4.7
"CAPTOPRIL",-4.387,5.9
"ATROPINE",-5.373,16.0
"MIGLITOL",-4.215,6.9
"DIPHENYLPYRALINE HYDROCHLORIDE",-4.443,12.2
"COCAINE HYDROCHLORIDE",-4.753,14.1
"AMANTADINE HYDROCHLORIDE",-3.443,2.7
"TESTOLACTONE",-5.532,4.4
"ETHINAMATE",-4.292,3.2
"ANISOTROPINE METHYLBROMIDE",-4.139,17.7
"PENTOSTATIN",-4.266,22.8
"THIAMINE",-4.625,9.0
"ACETOHEXAMIDE",-5.425,15.0
"PSEUDOEPHEDRINE",-3.775,4.5
"PANTOTHENIC ACID",-4.288,11.8
"DIHYDROCODEINE",-5.049,5.0
"CEPHRADINE",-5.250,17.9
"NEFOPAM",-3.111,19.1
"PHENYTOIN SODIUM",-5.274,6.7
"NADOLOL",-4.650,22.5
"CLADRIBINE",-4.836,8.4
"DIPHENHYDRAMINE HYDROCHLORIDE",-4.032,13.2
"MEPENZOLATE",-4.425,24.8
"OXYBENZONE",-4.666,6.7
"CLEMASTINE",-4.551,25.2
"GLUCOSAMINE",-4.648,4.1
"HEXYLRESORCINOL",-4.131,7.5
"KETOTIFEN FUMARATE",-3.355,21.9
"GEMCITABINE HYDROCHLORIDE",-4.750,6.8
"RIBAVIRIN",-5.496,7.3
"VOGLIBOSE",-4.221,16.0
"PHENIRAMINE MALEATE",-3.782,8.5
"RISEDRONATE SODIUM",-4.437,10.0
"CHLORPHENIRAMINE MALEATE",-4.201,9.2
"SECNIDAZOLE",-4.268,4.3
"PERFLUTREN",-3.479,2.4
"AMOROLFINE",-4.507,20.0
"MITOTANE",-4.181,5.8
"PROPRANOLOL HYDROCHLORIDE",-4.472,13.1
"TACRINE HYDROCHLORIDE",-4.813,3.1
"IODOHIPPURATE",-4.765,6.2
"SORBITOL",-4.225,8.8
"CARBIMAZOLE",-3.730,3.4
"DEZOCINE",-3.642,15.3
"CRISABOROLE",nan,0.0
"TOLAZOLINE HYDROCHLORIDE",-3.761,3.8
"HYDRALAZINE HYDROCHLORIDE",-5.531,4.2
"IMIPRAMINE HYDROCHLORIDE",-3.385,29.6
"DESIPRAMINE HYDROCHLORIDE",-2.904,26.7
"BUPROPION HYDROCHLORIDE",-4.085,8.2
"MEMANTINE HYDROCHLORIDE",-3.780,2.4
"SOTALOL HYDROCHLORIDE",-4.575,12.8
"MEPERIDINE HYDROCHLORIDE",-4.587,6.5
"ATOMOXETINE HYDROCHLORIDE",-4.352,13.3
"CLONIDINE HYDROCHLORIDE",-4.083,4.2
"NAPHAZOLINE HYDROCHLORIDE",-4.541,5.4
"SERTRALINE HYDROCHLORIDE",-4.934,7.8
"RIMANTADINE HYDROCHLORIDE",-3.563,2.4
"ISOPROTERENOL HYDROCHLORIDE",-4.739,8.1
"CHLORPROMAZINE HYDROCHLORIDE",-4.454,11.7
"KETAMINE HYDROCHLORIDE",-3.877,4.2
"CYPROHEPTADINE HYDROCHLORIDE",-5.149,3.6
"TICLOPIDINE HYDROCHLORIDE",-4.449,7.0
"NALOXONE HYDROCHLORIDE",-5.701,7.3
"OLOPATADINE HYDROCHLORIDE",-4.943,14.2
"PALONOSETRON HYDROCHLORIDE",-5.119,6.8
"METHYLPHENIDATE HYDROCHLORIDE",-4.026,7.8
"MEPENZOLATE BROMIDE",-4.425,22.3
"CEPHALEXIN ANHYDROUS",-5.251,17.4
"METHYLENE BLUE",-4.137,5.4
"CIPROFIBRATE",-4.259,9.9
"FORODESINE HYDROCHLORIDE",-5.501,8.4
"DEXRAZOXANE",-5.590,9.9
"ARTEMETHER",-4.514,5.3
"SODIUM PHENYLBUTYRATE",-4.193,5.8
"FLUTEMETAMOL",-4.341,7.1
"SCOPOLAMINE",-4.957,19.4
"CLOFARABINE",-4.899,11.7
"DYPHYLLINE",-4.831,8.8
