gene,log2FC,t,P,FDR,AveExpr,sig
BCAS1,3.465157675246808,40.86793245269992,6.207118615502884e-11,1.7453306166450745e-08,6.362578825760891,Up
HMGCS2,3.562406557212543,40.86161338216583,6.215122201570666e-11,1.7453306166450745e-08,1.795204383427931,Up
LUM,4.0604934656298495,40.60783822701337,6.546295401838464e-11,1.802284975239488e-08,2.0302467328149247,Up
CNGB3,3.331558433106236,39.31109021730677,8.57877800147093e-11,2.3164350368971794e-08,1.665779216553118,Up
SCIN,-3.2650340425681845,-39.00937048880705,9.147412985162032e-11,2.390875754427894e-08,1.8274767998814685,Down
SPTLC3,3.1385891201399745,38.98506695124967,9.195021062538729e-11,2.390875754427894e-08,2.047258771928521,Up
MAP1B,4.218109477815537,38.87218674541941,9.419806470894112e-11,2.3994885931743363e-08,4.2959012597753725,Up
S100A9,2.849910145433937,38.798466024881954,9.569928154530506e-11,2.3994885931743363e-08,3.2965972714142713,Up
COLEC12,3.129370712480007,38.71387409613898,9.74549499523924e-11,2.4006402671605994e-08,1.6557939888216253,Up
PARP12,2.807576436285954,38.49195623742322,1.0223453561749908e-10,2.474957094147077e-08,5.223400031062782,Up
IFIT3,3.341722191600906,38.33752317594662,1.0571537755846955e-10,2.515846807285544e-08,4.3063888531693495,Up
GPNMB,5.807822190759037,37.71167920465073,1.212449421105275e-10,2.837333720289861e-08,4.0338983741304055,Up
MID1,3.8518113315064264,37.278063325173356,1.3350018200552124e-10,3.072911566458236e-08,2.43497272748745,Up
AMPH,3.024640150102959,37.09419254175594,1.39110516768037e-10,3.150404461193561e-08,1.9479766872425603,Up
HHIPL2,2.8302295359918603,36.8574138716479,1.467276479143353e-10,3.244983355566325e-08,2.906306856408174,Up
DDX60L,4.136275719950859,36.79743638084643,1.4873043429541775e-10,3.244983355566325e-08,4.1026795613448614,Up
TNFRSF19,3.3522559344982947,36.68687631400012,1.5250295442903698e-10,3.244983355566325e-08,2.500435269406994,Up
GABBR1,2.6741193372682064,36.68606333095114,1.5253108857444444e-10,3.244983355566325e-08,3.471061144582228,Up
STK31,3.630715157978523,36.59007272459063,1.5589413237951346e-10,3.267029123493655e-08,1.9257022467822915,Up
TNIK,3.3514316145538414,36.354950440893354,1.6448772235816366e-10,3.271585720211544e-08,2.667901678249128,Up
STEAP4,2.6743301699238033,36.34867891044857,1.6472408986883645e-10,3.271585720211544e-08,1.862777526908855,Up
FAM133A,2.7581945822558294,36.33333985769177,1.65303805890368e-10,3.271585720211544e-08,1.393098395949574,Up
XAF1,4.4852408070638345,36.329965133529846,1.6543165453672788e-10,3.271585720211544e-08,3.1473909809583045,Up
CTSO,3.091770098610743,35.92322907723386,1.8168261605822889e-10,3.5430633501022106e-08,2.527180895039788,Up
CCNB3,2.8955682872820434,35.812866558008785,1.8639485896035815e-10,3.5851646776197106e-08,1.6328908108833815,Up
C14orf132,3.5024818891385316,35.587658176821044,1.9644105294137704e-10,3.7273362491214525e-08,5.350737409162549,Up
CAPN8,3.3530541971535985,35.25994756142222,2.1215977226968372e-10,3.971913816584839e-08,3.812536700365964,Up
HLA-DRA,2.7602831189532195,35.00774841585506,2.2521657431533079e-10,4.108065310411033e-08,1.9547654132759602,Up
RAI2,2.7163126563195115,35.0064920006414,2.2528383227807818e-10,4.108065310411033e-08,1.578056353754033,Up
NMNAT2,3.0004683519699054,34.86009490334865,2.332767762815538e-10,4.199281045858073e-08,2.227737423814298,Up
BTC,3.7177723282048976,34.40205793680037,2.6040779240649294e-10,4.619270628996941e-08,2.4782803392646198,Up
CRYBG3,2.7325084070433423,34.341919923907334,2.642251681500654e-10,4.619270628996941e-08,4.279249422824859,Up
SAMD9,2.9781227191570396,34.30689290487476,2.664774025701533e-10,4.619270628996941e-08,5.989992215252564,Up
FAM171A1,2.7847518979918333,34.237305282773285,2.710158836891314e-10,4.6193161220955556e-08,1.7678775354556295,Up
PARP9,2.644727824183625,34.20639115675713,2.730597807377901e-10,4.6193161220955556e-08,6.69211330222457,Up
PTPRN2,3.185182076942682,33.8469913399004,2.9813129149529966e-10,4.9834065046255985e-08,2.520677000857167,Up
AFF3,2.8695613793069534,33.7331324869053,3.06603396056085e-10,5.064727392968811e-08,1.7632510033521267,Up
DAPP1,3.076503260627677,33.65424456892352,3.126312669787981e-10,5.1042507205224464e-08,1.9470469802243577,Up
GJB7,2.5772044183527583,33.405124004890695,3.3255454876604697e-10,5.367124619797777e-08,1.4022450218532194,Up
PTK6,3.606980189582148,33.272834993205564,3.437089808007514e-10,5.484111135708353e-08,3.5400130493380133,Up
ZNF662,2.3971337504546506,33.2136467172857,3.488346860465605e-10,5.503357108741299e-08,1.2648705022288584,Up
TPM1,-2.6631273195350937,-33.09235108154613,3.5960826763234797e-10,5.562648540712637e-08,7.477410597524642,Down
PHLDA1,-2.97319159707523,-33.082313503721636,3.60516357242967e-10,5.562648540712637e-08,6.232443109846717,Down
