name,source,smiles,MW,LogP,HBD,HBA,TPSA,RotB,QED,heavy,Lipinski_viol
VENLAFAXINE,CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.4079999999999,3.0356000000000014,1,3,32.7,5,0.8976823731418612,20,0
ZIDOVUDINE,CHEMBL129,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,267.245,-0.19628000000000012,2,5,133.07999999999998,3,0.4454004294146897,19,0
VORICONAZOLE,CHEMBL638,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,349.31600000000003,2.1769,1,5,76.72,5,0.7639757614487599,25,0
AZELASTINE,CHEMBL639,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.9070000000002,4.297500000000004,0,3,38.13,3,0.678552511607709,27,0
PROCAINAMIDE,CHEMBL640,CCN(CC)CCNC(=O)c1ccc(N)cc1,235.33100000000002,1.3403999999999996,2,3,58.36,6,0.7315396930195435,17,0
ATOMOXETINE,CHEMBL641,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.361,3.7246200000000034,1,2,21.259999999999998,6,0.8489950317721323,19,0
ACEBUTOLOL,CHEMBL642,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,336.4320000000001,2.3655,3,5,87.66,10,0.5710137425129463,24,0
PROMETHAZINE,CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,284.428,4.239400000000003,0,3,6.48,3,0.8321538928687809,20,0
PREDNISOLONE,CHEMBL131,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,360.4500000000002,1.5575999999999999,3,5,94.83,2,0.6946116752943168,26,0
TRIMIPRAMINE,CHEMBL644,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,294.442,4.121000000000003,0,2,6.48,4,0.8366473557753505,22,0
BISOPROLOL,CHEMBL645,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,325.449,2.3659,2,5,59.95,12,0.5778484804828311,23,0
APRACLONIDINE,CHEMBL647,Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,245.113,1.7558999999999998,3,2,62.44,1,0.660359398694943,15,0
CYCLIZINE,CHEMBL648,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,266.38800000000003,3.0234000000000014,0,2,6.48,3,0.84234198198695,20,0
NEBIVOLOL,CHEMBL434394,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,405.44100000000014,2.363600000000001,3,5,70.95,6,0.68846240126238,29,0
METHYLPREDNISOLONE,CHEMBL650,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,374.4770000000001,1.8036,3,5,94.83000000000001,2,0.685142538776804,27,0
METHADONE,CHEMBL651,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,309.45300000000003,4.292000000000004,0,2,20.310000000000002,7,0.7601212787758543,23,0
FLECAINIDE,CHEMBL652,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,414.34600000000006,3.4407000000000014,2,4,59.59,7,0.6715843719947417,28,0
CLONIDINE,CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,230.09799999999998,2.3644999999999996,2,3,36.42,1,0.7764264211073745,14,0
MIRTAZAPINE,CHEMBL654,CN1CCN2c3ncccc3Cc3ccccc3C2C1,265.36,2.4789000000000003,0,3,19.37,0,0.7292796247091089,20,0
MIDAZOLAM,CHEMBL655,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,325.77400000000006,4.324220000000002,0,2,30.18,1,0.654885085071007,23,0
ESTRADIOL,CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,272.3879999999999,3.6092000000000026,2,2,40.46,0,0.757169743555686,20,0
DIPHENHYDRAMINE,CHEMBL657,CN(C)CCOC(c1ccccc1)c1ccccc1,255.36100000000002,3.3542000000000023,0,2,12.47,6,0.7845504400951161,19,0
SUFENTANIL,CHEMBL658,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,386.56100000000015,4.214800000000004,0,4,32.78,8,0.6810921785688575,27,0
GALANTAMINE,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.35900000000004,1.8503,1,4,41.93,1,0.8005242690101381,21,0
AMANTADINE,CHEMBL660,NC12CC3CC(CC(C3)C1)C2,151.253,1.9139,1,1,26.02,0,0.5620664127719119,11,0
ALPRAZOLAM,CHEMBL661,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,308.77200000000005,3.5801200000000017,0,3,43.07,1,0.6893709827759431,22,0
MAPROTILINE,CHEMBL21731,CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41100000000006,4.211400000000004,1,1,12.03,4,0.8254375445230729,21,0
ACETYLCHOLINE,CHEMBL667,CC(=O)OCC[N+](C)(C)C,146.21,0.25570000000000004,0,2,26.3,3,0.4213777873274688,10,0
METRONIDAZOLE,CHEMBL137,Cc1ncc([N+](=O)[O-])n1CCO,171.15599999999998,0.09201999999999994,1,4,81.19,3,0.5158680082581498,12,0
PROTRIPTYLINE,CHEMBL668,CNCCCC1c2ccccc2C=Cc2ccccc21,263.384,4.301900000000003,1,1,12.03,4,0.8108521414626005,20,0
CYCLOBENZAPRINE,CHEMBL669,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,275.39500000000004,4.553800000000004,0,1,3.24,3,0.6773504085567709,21,0
